"game_play_id","rush_id","jerseyNumber","hit_hurry_or_sack","unique_plays","average_prob","coerce"
"2021090900-1078",34777,96,0,1,0.102947543064753,0.0903111453993752
"2021090900-1078",35454,90,0,1,0.0692519174405822,0.0802154332176933
"2021090900-1078",41915,58,0,1,0.100537830066902,0.11887880294009
"2021090900-1078",42560,56,0,1,0.102140071353427,0.0942548031383975
"2021090900-1203",42403,94,0,1,0.0858029094912732,0.0937819650850024
"2021090900-1203",44955,91,0,1,0.0776439014201362,0.0875798040055325
"2021090900-1203",53504,97,0,1,0.0681377469251553,0.0733284194384175
"2021090900-1227",41263,90,0,1,0.119910602768262,0.120982947612494
"2021090900-1227",42403,94,0,1,0.117404548078775,0.125883162244447
"2021090900-1227",44955,91,0,1,0.114530190328757,0.114664596506266
"2021090900-1227",53504,97,0,1,0.110338128109773,0.10661612546513
"2021090900-1267",41363,95,0,1,0.0795838752340886,0.0861779038603025
"2021090900-1267",44892,93,0,1,0.140636449619647,0.154879139523555
"2021090900-1267",52587,56,0,1,0.0585536140828363,0.0728042923175006
"2021090900-1267",53621,98,0,1,0.0455692851495358,0.0465929610995163
"2021090900-1312",41363,95,0,1,0.143821930063182,0.124058487009199
"2021090900-1312",43323,9,0,1,0.154468289480127,0.256407929654389
"2021090900-1312",46088,55,0,1,0.0634651471507447,0.0973281525085457
"2021090900-1312",53621,98,0,1,0.0722844710509325,0.0747320110347628
"2021090900-1368",35441,93,0,1,0.0685784198964635,0.0680932871415593
"2021090900-1368",35454,90,0,1,0.115058361863097,0.128104221943832
"2021090900-1368",41915,58,0,1,0.095271793504556,0.108634775213496
"2021090900-1368",46081,50,0,1,0.095969176540772,0.088274208791931
"2021090900-137",35441,93,0,1,0.0321314472705126,0.0427244133827327
"2021090900-137",35454,90,0,1,0.0180772802233696,0.0177838147228992
"2021090900-137",40074,92,0,1,0.0509817360341549,0.0555939451161339
"2021090900-137",46081,50,0,1,0.0999974286556244,0.0750142969528167
"2021090900-137",53461,9,0,1,0.0217225533351302,0.0181367678527827
"2021090900-1392",35441,93,0,1,0.072782773923661,0.0881924526297191
"2021090900-1392",35454,90,0,1,0.123243867286614,0.129008424149819
"2021090900-1392",40074,92,0,1,0.209081376503621,0.160634583385638
"2021090900-1392",41915,58,0,1,0.106254610499101,0.120911205884977
"2021090900-1392",46081,50,0,1,0.143497785021152,0.115686464143991
"2021090900-1425",35441,93,0,1,0.0997864568073835,0.070305593513466
"2021090900-1425",40074,92,0,1,0.0472025929484517,0.0400821491052044
"2021090900-1425",46081,50,0,1,0.0786779094487429,0.0880673369322397
"2021090900-1506",35441,93,0,1,0.0771439774509738,0.058970710837736
"2021090900-1506",35454,90,0,1,0.11667477872734,0.164844388815683
"2021090900-1506",41915,58,0,1,0.148558560393605,0.119582646597667
"2021090900-1506",46081,50,1,1,0.523850346970207,0.239196406253855
"2021090900-1563",35441,93,0,1,0.0697591859274186,0.0817729203709057
"2021090900-1563",35454,90,0,1,0.0840348286124376,0.0869426784864211
"2021090900-1563",46081,50,0,1,0.0990316124203114,0.114855414152853
"2021090900-1563",47788,45,0,1,0.312460100421539,0.251844543812954
"2021090900-1563",47882,32,0,1,0.185738216512478,0.204196896679417
"2021090900-1587",35441,93,0,1,0.0259157076850533,0.032590881169766
"2021090900-1587",35454,90,0,1,0.0565567990392447,0.0600200528839427
"2021090900-1587",38588,54,0,1,0.152419699132442,0.131744914461324
"2021090900-1587",41915,58,0,1,0.108900950476527,0.0713103785636346
"2021090900-1587",46081,50,0,1,0.0598800335079431,0.0628444097668152
"2021090900-1587",47788,45,1,1,0.250502593815327,0.187655815376994
"2021090900-1687",40074,92,0,1,0.0489714040304534,0.0598109002474632
"2021090900-1687",41915,58,0,1,0.233826908282936,0.20476171294949
"2021090900-1687",42560,56,0,1,0.0631048205541447,0.0745547073673918
"2021090900-1687",47882,32,0,1,0.156666145194322,0.167925125366544
"2021090900-1687",47890,98,0,1,0.109506488894112,0.122402541057737
"2021090900-1726",35441,93,0,1,0.0555924878201701,0.0660562391752675
"2021090900-1726",38588,54,0,1,0.125030549581755,0.0944548020593602
"2021090900-1726",41338,43,0,1,0.229794828390533,0.180724905446132
"2021090900-1726",41915,58,0,1,0.0646564283154228,0.0770381689606444
"2021090900-1726",46081,50,0,1,0.0841557117687031,0.0679243641763386
"2021090900-1726",53461,9,0,1,0.126599593934688,0.134163781918388
"2021090900-1776",35441,93,0,1,0.0583376959656124,0.0472745437885567
"2021090900-1776",38588,54,0,1,0.154031232551292,0.125295840641222
"2021090900-1776",41915,58,0,1,0.0421338744323563,0.0465244765675252
"2021090900-1776",46081,50,0,1,0.0389624996869652,0.0469383801684081
"2021090900-1776",47788,45,0,1,0.10910893731785,0.113368395103124
"2021090900-1776",52453,31,0,1,0.144552887589843,0.110490708184729
"2021090900-1776",53461,9,0,1,0.142154893665402,0.11881159311335
"2021090900-187",35441,93,0,1,0.0704017792828381,0.080063692792915
"2021090900-187",35454,90,0,1,0.108517439290881,0.112940951445653
"2021090900-187",38588,54,0,1,0.224275934696197,0.211170566865096
"2021090900-187",46081,50,0,1,0.121453026309609,0.125001114064847
"2021090900-1918",34777,96,0,1,0.0619230112907561,0.0734607314361473
"2021090900-1918",35454,90,0,1,0.100695855915547,0.109891808754294
"2021090900-1918",41915,58,0,1,0.119337315417149,0.120967622650692
"2021090900-1918",42560,56,0,1,0.0477799371054227,0.0614335186848847
"2021090900-1918",47882,32,0,1,0.195976050739939,0.18910674852097
"2021090900-1940",35441,93,0,1,0.0808023846206757,0.0850888998038666
