"game_play_id","defense","hit_hurry_or_sack","unique_plays","average_prob","coerce"
"2021090900-1078","TB",0,1,0.333544393380483,0.338177616168354
"2021090900-1203","DAL",0,1,0.178724410633246,0.175970608028454
"2021090900-1227","DAL",0,1,0.321367268760999,0.338635751972415
"2021090900-1267","DAL",0,1,0.289084427779721,0.300008177195377
"2021090900-1312","DAL",0,1,0.313882013847088,0.351268176571964
"2021090900-1368","TB",0,1,0.326089154928923,0.331119937477564
"2021090900-137","TB",0,1,0.41548928797245,0.374089593633458
"2021090900-1392","TB",0,1,0.421729566795485,0.413865968612422
"2021090900-1425","TB",0,1,0.211734297020095,0.235244548955244
"2021090900-1506","TB",1,1,0.677785431637483,0.429281721598275
"2021090900-1563","TB",0,1,0.521021630901557,0.464383269220108
"2021090900-1587","TB",1,1,0.641538571119308,0.594193933203244
"2021090900-1687","TB",0,1,0.420330372639,0.420355706702932
"2021090900-1726","TB",0,1,0.43516864288937,0.39949228169
"2021090900-1776","TB",0,1,0.479002533135591,0.463212197746469
"2021090900-187","TB",0,1,0.337720581144094,0.348795216695056
"2021090900-1918","TB",0,1,0.369159125468948,0.381225630882789
"2021090900-1940","TB",0,1,0.329243211792066,0.351619333600711
"2021090900-2008","DAL",0,1,0.345372203323576,0.354116873634616
"2021090900-2032","DAL",0,1,0.407930027912645,0.373321960515324
"2021090900-2088","TB",0,1,0.274338062656553,0.275796067404247
"2021090900-2129","TB",0,1,0.351178852781173,0.358405378347744
"2021090900-2169","TB",0,1,0.319918225918497,0.330302773638821
"2021090900-2211","TB",1,1,0.493964807641122,0.452982061459139
"2021090900-2233","TB",1,1,0.526303867101669,0.455724479793651
"2021090900-2257","TB",0,1,0.415454419759604,0.359911767220359
"2021090900-2279","TB",1,1,0.6387658495948,0.438171481846851
"2021090900-2298","TB",1,1,0.50118070028045,0.39039646100569
"2021090900-2330","TB",1,1,0.702963101592931,0.480225732856416
"2021090900-2397","DAL",0,1,0.0672947411857,0.0740197273508255
"2021090900-2419","DAL",1,1,0.321018528781439,0.3427753688383
"2021090900-2441","DAL",0,1,0.218862160247691,0.235560562776838
"2021090900-2530","TB",0,1,0.249348481064257,0.226536537132602
"2021090900-2554","TB",1,1,0.538635217008137,0.507885766553023
"2021090900-2632","TB",0,1,0.443747222423553,0.438439333975785
"2021090900-2656","TB",0,1,0.344358666075601,0.361725986649574
"2021090900-2678","TB",0,1,0.430636548790438,0.411825271074637
"2021090900-2735","TB",1,1,0.540784440934658,0.499870731550411
"2021090900-2780","TB",1,1,0.614727336168289,0.564921413947931
"2021090900-282","TB",0,1,0.474670048803091,0.485871599634257
"2021090900-2871","DAL",0,1,0.349339418389179,0.378155595858236
